step,folder,phase_fraction,phase_fraction_e,n_phases,Rwp,Rexp,GOF,phase_name,lattice_a,lattice_a_e,lattice_b,lattice_b_e,lattice_c,lattice_c_e,lattice_alpha,lattice_alpha_e,lattice_beta,lattice_beta_e,lattice_gamma,lattice_gamma_e,biso,biso_e,crystallite_size,crystallite_size_e,microstrain,microstrain_e,FILE0_plot1d_Bank120_omega_0p0,FILE1_plot1d_Bank120_omega_67p5,FILE2_plot1d_Bank120_omega_90p0,FILE3_plot1d_Bank144_omega_0p0,FILE4_plot1d_Bank144_omega_67p5,FILE5_plot1d_Bank144_omega_90p0,FILE6_plot1d_Bank39_omega_0p0,FILE7_plot1d_Bank39_omega_67p5,FILE8_plot1d_Bank39_omega_90p0,FILE9_plot1d_Bank60_omega_0p0,FILE10_plot1d_Bank60_omega_67p5,FILE11_plot1d_Bank60_omega_90p0,FILE12_plot1d_Bank90_omega_0p0,FILE13_plot1d_Bank90_omega_67p5,FILE14_plot1d_Bank90_omega_90p0,FILE15_Bank120_omega_0p0,FILE16_Bank120_omega_67p5,FILE17_Bank120_omega_90p0,FILE18_Bank144_omega_0p0,FILE19_Bank144_omega_67p5,FILE20_Bank144_omega_90p0,FILE21_Bank39_omega_0p0,FILE22_Bank39_omega_67p5,FILE23_Bank39_omega_90p0,FILE24_Bank60_omega_0p0,FILE25_Bank60_omega_67p5,FILE26_Bank60_omega_90p0,FILE27_Bank90_omega_0p0,FILE28_Bank90_omega_67p5,FILE29_Bank90_omega_90p0
1,run000,0.33333334,NaN,3,0.86823326,0.043499183,19.959760163771353,steel,3.62,NaN,3.62,NaN,3.62,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_1/plot1d_Bank120 omega 0.0.png,run000/step_1/plot1d_Bank120 omega 67.5.png,run000/step_1/plot1d_Bank120 omega 90.0.png,run000/step_1/plot1d_Bank144 omega 0.0.png,run000/step_1/plot1d_Bank144 omega 67.5.png,run000/step_1/plot1d_Bank144 omega 90.0.png,run000/step_1/plot1d_Bank39 omega 0.0.png,run000/step_1/plot1d_Bank39 omega 67.5.png,run000/step_1/plot1d_Bank39 omega 90.0.png,run000/step_1/plot1d_Bank60 omega 0.0.png,run000/step_1/plot1d_Bank60 omega 67.5.png,run000/step_1/plot1d_Bank60 omega 90.0.png,run000/step_1/plot1d_Bank90 omega 0.0.png,run000/step_1/plot1d_Bank90 omega 67.5.png,run000/step_1/plot1d_Bank90 omega 90.0.png,run000/step_1/plot_Bank120 omega 0.0.png,run000/step_1/plot_Bank120 omega 67.5.png,run000/step_1/plot_Bank120 omega 90.0.png,run000/step_1/plot_Bank144 omega 0.0.png,run000/step_1/plot_Bank144 omega 67.5.png,run000/step_1/plot_Bank144 omega 90.0.png,run000/step_1/plot_Bank39 omega 0.0.png,run000/step_1/plot_Bank39 omega 67.5.png,run000/step_1/plot_Bank39 omega 90.0.png,run000/step_1/plot_Bank60 omega 0.0.png,run000/step_1/plot_Bank60 omega 67.5.png,run000/step_1/plot_Bank60 omega 90.0.png,run000/step_1/plot_Bank90 omega 0.0.png,run000/step_1/plot_Bank90 omega 67.5.png,run000/step_1/plot_Bank90 omega 90.0.png
1,run000,0.33333334,NaN,3,0.86823326,0.043499183,19.959760163771353,beta-Ti,3.28,NaN,3.28,NaN,3.28,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_1/plot1d_Bank120 omega 0.0.png,run000/step_1/plot1d_Bank120 omega 67.5.png,run000/step_1/plot1d_Bank120 omega 90.0.png,run000/step_1/plot1d_Bank144 omega 0.0.png,run000/step_1/plot1d_Bank144 omega 67.5.png,run000/step_1/plot1d_Bank144 omega 90.0.png,run000/step_1/plot1d_Bank39 omega 0.0.png,run000/step_1/plot1d_Bank39 omega 67.5.png,run000/step_1/plot1d_Bank39 omega 90.0.png,run000/step_1/plot1d_Bank60 omega 0.0.png,run000/step_1/plot1d_Bank60 omega 67.5.png,run000/step_1/plot1d_Bank60 omega 90.0.png,run000/step_1/plot1d_Bank90 omega 0.0.png,run000/step_1/plot1d_Bank90 omega 67.5.png,run000/step_1/plot1d_Bank90 omega 90.0.png,run000/step_1/plot_Bank120 omega 0.0.png,run000/step_1/plot_Bank120 omega 67.5.png,run000/step_1/plot_Bank120 omega 90.0.png,run000/step_1/plot_Bank144 omega 0.0.png,run000/step_1/plot_Bank144 omega 67.5.png,run000/step_1/plot_Bank144 omega 90.0.png,run000/step_1/plot_Bank39 omega 0.0.png,run000/step_1/plot_Bank39 omega 67.5.png,run000/step_1/plot_Bank39 omega 90.0.png,run000/step_1/plot_Bank60 omega 0.0.png,run000/step_1/plot_Bank60 omega 67.5.png,run000/step_1/plot_Bank60 omega 90.0.png,run000/step_1/plot_Bank90 omega 0.0.png,run000/step_1/plot_Bank90 omega 67.5.png,run000/step_1/plot_Bank90 omega 90.0.png
1,run000,0.33333334,NaN,3,0.86823326,0.043499183,19.959760163771353,alpha-Ti,2.91804,NaN,2.91804,NaN,4.65174,NaN,90.0,NaN,90.0,NaN,120.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_1/plot1d_Bank120 omega 0.0.png,run000/step_1/plot1d_Bank120 omega 67.5.png,run000/step_1/plot1d_Bank120 omega 90.0.png,run000/step_1/plot1d_Bank144 omega 0.0.png,run000/step_1/plot1d_Bank144 omega 67.5.png,run000/step_1/plot1d_Bank144 omega 90.0.png,run000/step_1/plot1d_Bank39 omega 0.0.png,run000/step_1/plot1d_Bank39 omega 67.5.png,run000/step_1/plot1d_Bank39 omega 90.0.png,run000/step_1/plot1d_Bank60 omega 0.0.png,run000/step_1/plot1d_Bank60 omega 67.5.png,run000/step_1/plot1d_Bank60 omega 90.0.png,run000/step_1/plot1d_Bank90 omega 0.0.png,run000/step_1/plot1d_Bank90 omega 67.5.png,run000/step_1/plot1d_Bank90 omega 90.0.png,run000/step_1/plot_Bank120 omega 0.0.png,run000/step_1/plot_Bank120 omega 67.5.png,run000/step_1/plot_Bank120 omega 90.0.png,run000/step_1/plot_Bank144 omega 0.0.png,run000/step_1/plot_Bank144 omega 67.5.png,run000/step_1/plot_Bank144 omega 90.0.png,run000/step_1/plot_Bank39 omega 0.0.png,run000/step_1/plot_Bank39 omega 67.5.png,run000/step_1/plot_Bank39 omega 90.0.png,run000/step_1/plot_Bank60 omega 0.0.png,run000/step_1/plot_Bank60 omega 67.5.png,run000/step_1/plot_Bank60 omega 90.0.png,run000/step_1/plot_Bank90 omega 0.0.png,run000/step_1/plot_Bank90 omega 67.5.png,run000/step_1/plot_Bank90 omega 90.0.png
2,run000,0.000301283,0.0076296655,3,0.03149814,0.043466642,0.7246508713509546,steel,3.62,NaN,3.62,NaN,3.62,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_2/plot1d_Bank120 omega 0.0.png,run000/step_2/plot1d_Bank120 omega 67.5.png,run000/step_2/plot1d_Bank120 omega 90.0.png,run000/step_2/plot1d_Bank144 omega 0.0.png,run000/step_2/plot1d_Bank144 omega 67.5.png,run000/step_2/plot1d_Bank144 omega 90.0.png,run000/step_2/plot1d_Bank39 omega 0.0.png,run000/step_2/plot1d_Bank39 omega 67.5.png,run000/step_2/plot1d_Bank39 omega 90.0.png,run000/step_2/plot1d_Bank60 omega 0.0.png,run000/step_2/plot1d_Bank60 omega 67.5.png,run000/step_2/plot1d_Bank60 omega 90.0.png,run000/step_2/plot1d_Bank90 omega 0.0.png,run000/step_2/plot1d_Bank90 omega 67.5.png,run000/step_2/plot1d_Bank90 omega 90.0.png,run000/step_2/plot_Bank120 omega 0.0.png,run000/step_2/plot_Bank120 omega 67.5.png,run000/step_2/plot_Bank120 omega 90.0.png,run000/step_2/plot_Bank144 omega 0.0.png,run000/step_2/plot_Bank144 omega 67.5.png,run000/step_2/plot_Bank144 omega 90.0.png,run000/step_2/plot_Bank39 omega 0.0.png,run000/step_2/plot_Bank39 omega 67.5.png,run000/step_2/plot_Bank39 omega 90.0.png,run000/step_2/plot_Bank60 omega 0.0.png,run000/step_2/plot_Bank60 omega 67.5.png,run000/step_2/plot_Bank60 omega 90.0.png,run000/step_2/plot_Bank90 omega 0.0.png,run000/step_2/plot_Bank90 omega 67.5.png,run000/step_2/plot_Bank90 omega 90.0.png
2,run000,0.08165414,0.07828238,3,0.03149814,0.043466642,0.7246508713509546,beta-Ti,3.28,NaN,3.28,NaN,3.28,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_2/plot1d_Bank120 omega 0.0.png,run000/step_2/plot1d_Bank120 omega 67.5.png,run000/step_2/plot1d_Bank120 omega 90.0.png,run000/step_2/plot1d_Bank144 omega 0.0.png,run000/step_2/plot1d_Bank144 omega 67.5.png,run000/step_2/plot1d_Bank144 omega 90.0.png,run000/step_2/plot1d_Bank39 omega 0.0.png,run000/step_2/plot1d_Bank39 omega 67.5.png,run000/step_2/plot1d_Bank39 omega 90.0.png,run000/step_2/plot1d_Bank60 omega 0.0.png,run000/step_2/plot1d_Bank60 omega 67.5.png,run000/step_2/plot1d_Bank60 omega 90.0.png,run000/step_2/plot1d_Bank90 omega 0.0.png,run000/step_2/plot1d_Bank90 omega 67.5.png,run000/step_2/plot1d_Bank90 omega 90.0.png,run000/step_2/plot_Bank120 omega 0.0.png,run000/step_2/plot_Bank120 omega 67.5.png,run000/step_2/plot_Bank120 omega 90.0.png,run000/step_2/plot_Bank144 omega 0.0.png,run000/step_2/plot_Bank144 omega 67.5.png,run000/step_2/plot_Bank144 omega 90.0.png,run000/step_2/plot_Bank39 omega 0.0.png,run000/step_2/plot_Bank39 omega 67.5.png,run000/step_2/plot_Bank39 omega 90.0.png,run000/step_2/plot_Bank60 omega 0.0.png,run000/step_2/plot_Bank60 omega 67.5.png,run000/step_2/plot_Bank60 omega 90.0.png,run000/step_2/plot_Bank90 omega 0.0.png,run000/step_2/plot_Bank90 omega 67.5.png,run000/step_2/plot_Bank90 omega 90.0.png
2,run000,0.91804457,NaN,3,0.03149814,0.043466642,0.7246508713509546,alpha-Ti,2.91804,NaN,2.91804,NaN,4.65174,NaN,90.0,NaN,90.0,NaN,120.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run000/step_2/plot1d_Bank120 omega 0.0.png,run000/step_2/plot1d_Bank120 omega 67.5.png,run000/step_2/plot1d_Bank120 omega 90.0.png,run000/step_2/plot1d_Bank144 omega 0.0.png,run000/step_2/plot1d_Bank144 omega 67.5.png,run000/step_2/plot1d_Bank144 omega 90.0.png,run000/step_2/plot1d_Bank39 omega 0.0.png,run000/step_2/plot1d_Bank39 omega 67.5.png,run000/step_2/plot1d_Bank39 omega 90.0.png,run000/step_2/plot1d_Bank60 omega 0.0.png,run000/step_2/plot1d_Bank60 omega 67.5.png,run000/step_2/plot1d_Bank60 omega 90.0.png,run000/step_2/plot1d_Bank90 omega 0.0.png,run000/step_2/plot1d_Bank90 omega 67.5.png,run000/step_2/plot1d_Bank90 omega 90.0.png,run000/step_2/plot_Bank120 omega 0.0.png,run000/step_2/plot_Bank120 omega 67.5.png,run000/step_2/plot_Bank120 omega 90.0.png,run000/step_2/plot_Bank144 omega 0.0.png,run000/step_2/plot_Bank144 omega 67.5.png,run000/step_2/plot_Bank144 omega 90.0.png,run000/step_2/plot_Bank39 omega 0.0.png,run000/step_2/plot_Bank39 omega 67.5.png,run000/step_2/plot_Bank39 omega 90.0.png,run000/step_2/plot_Bank60 omega 0.0.png,run000/step_2/plot_Bank60 omega 67.5.png,run000/step_2/plot_Bank60 omega 90.0.png,run000/step_2/plot_Bank90 omega 0.0.png,run000/step_2/plot_Bank90 omega 67.5.png,run000/step_2/plot_Bank90 omega 90.0.png
1,run001,0.33333334,NaN,3,0.86961675,0.044766024,19.42582057320972,steel,3.62,NaN,3.62,NaN,3.62,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_1/plot1d_Bank120 omega 0.0.png,run001/step_1/plot1d_Bank120 omega 67.5.png,run001/step_1/plot1d_Bank120 omega 90.0.png,run001/step_1/plot1d_Bank144 omega 0.0.png,run001/step_1/plot1d_Bank144 omega 67.5.png,run001/step_1/plot1d_Bank144 omega 90.0.png,run001/step_1/plot1d_Bank39 omega 0.0.png,run001/step_1/plot1d_Bank39 omega 67.5.png,run001/step_1/plot1d_Bank39 omega 90.0.png,run001/step_1/plot1d_Bank60 omega 0.0.png,run001/step_1/plot1d_Bank60 omega 67.5.png,run001/step_1/plot1d_Bank60 omega 90.0.png,run001/step_1/plot1d_Bank90 omega 0.0.png,run001/step_1/plot1d_Bank90 omega 67.5.png,run001/step_1/plot1d_Bank90 omega 90.0.png,run001/step_1/plot_Bank120 omega 0.0.png,run001/step_1/plot_Bank120 omega 67.5.png,run001/step_1/plot_Bank120 omega 90.0.png,run001/step_1/plot_Bank144 omega 0.0.png,run001/step_1/plot_Bank144 omega 67.5.png,run001/step_1/plot_Bank144 omega 90.0.png,run001/step_1/plot_Bank39 omega 0.0.png,run001/step_1/plot_Bank39 omega 67.5.png,run001/step_1/plot_Bank39 omega 90.0.png,run001/step_1/plot_Bank60 omega 0.0.png,run001/step_1/plot_Bank60 omega 67.5.png,run001/step_1/plot_Bank60 omega 90.0.png,run001/step_1/plot_Bank90 omega 0.0.png,run001/step_1/plot_Bank90 omega 67.5.png,run001/step_1/plot_Bank90 omega 90.0.png
1,run001,0.33333334,NaN,3,0.86961675,0.044766024,19.42582057320972,beta-Ti,3.28,NaN,3.28,NaN,3.28,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_1/plot1d_Bank120 omega 0.0.png,run001/step_1/plot1d_Bank120 omega 67.5.png,run001/step_1/plot1d_Bank120 omega 90.0.png,run001/step_1/plot1d_Bank144 omega 0.0.png,run001/step_1/plot1d_Bank144 omega 67.5.png,run001/step_1/plot1d_Bank144 omega 90.0.png,run001/step_1/plot1d_Bank39 omega 0.0.png,run001/step_1/plot1d_Bank39 omega 67.5.png,run001/step_1/plot1d_Bank39 omega 90.0.png,run001/step_1/plot1d_Bank60 omega 0.0.png,run001/step_1/plot1d_Bank60 omega 67.5.png,run001/step_1/plot1d_Bank60 omega 90.0.png,run001/step_1/plot1d_Bank90 omega 0.0.png,run001/step_1/plot1d_Bank90 omega 67.5.png,run001/step_1/plot1d_Bank90 omega 90.0.png,run001/step_1/plot_Bank120 omega 0.0.png,run001/step_1/plot_Bank120 omega 67.5.png,run001/step_1/plot_Bank120 omega 90.0.png,run001/step_1/plot_Bank144 omega 0.0.png,run001/step_1/plot_Bank144 omega 67.5.png,run001/step_1/plot_Bank144 omega 90.0.png,run001/step_1/plot_Bank39 omega 0.0.png,run001/step_1/plot_Bank39 omega 67.5.png,run001/step_1/plot_Bank39 omega 90.0.png,run001/step_1/plot_Bank60 omega 0.0.png,run001/step_1/plot_Bank60 omega 67.5.png,run001/step_1/plot_Bank60 omega 90.0.png,run001/step_1/plot_Bank90 omega 0.0.png,run001/step_1/plot_Bank90 omega 67.5.png,run001/step_1/plot_Bank90 omega 90.0.png
1,run001,0.33333334,NaN,3,0.86961675,0.044766024,19.42582057320972,alpha-Ti,2.91804,NaN,2.91804,NaN,4.65174,NaN,90.0,NaN,90.0,NaN,120.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_1/plot1d_Bank120 omega 0.0.png,run001/step_1/plot1d_Bank120 omega 67.5.png,run001/step_1/plot1d_Bank120 omega 90.0.png,run001/step_1/plot1d_Bank144 omega 0.0.png,run001/step_1/plot1d_Bank144 omega 67.5.png,run001/step_1/plot1d_Bank144 omega 90.0.png,run001/step_1/plot1d_Bank39 omega 0.0.png,run001/step_1/plot1d_Bank39 omega 67.5.png,run001/step_1/plot1d_Bank39 omega 90.0.png,run001/step_1/plot1d_Bank60 omega 0.0.png,run001/step_1/plot1d_Bank60 omega 67.5.png,run001/step_1/plot1d_Bank60 omega 90.0.png,run001/step_1/plot1d_Bank90 omega 0.0.png,run001/step_1/plot1d_Bank90 omega 67.5.png,run001/step_1/plot1d_Bank90 omega 90.0.png,run001/step_1/plot_Bank120 omega 0.0.png,run001/step_1/plot_Bank120 omega 67.5.png,run001/step_1/plot_Bank120 omega 90.0.png,run001/step_1/plot_Bank144 omega 0.0.png,run001/step_1/plot_Bank144 omega 67.5.png,run001/step_1/plot_Bank144 omega 90.0.png,run001/step_1/plot_Bank39 omega 0.0.png,run001/step_1/plot_Bank39 omega 67.5.png,run001/step_1/plot_Bank39 omega 90.0.png,run001/step_1/plot_Bank60 omega 0.0.png,run001/step_1/plot_Bank60 omega 67.5.png,run001/step_1/plot_Bank60 omega 90.0.png,run001/step_1/plot_Bank90 omega 0.0.png,run001/step_1/plot_Bank90 omega 67.5.png,run001/step_1/plot_Bank90 omega 90.0.png
2,run001,4.3320262e-05,0.002471205,3,0.03597001,0.044732537,0.8041128988503379,steel,3.62,NaN,3.62,NaN,3.62,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_2/plot1d_Bank120 omega 0.0.png,run001/step_2/plot1d_Bank120 omega 67.5.png,run001/step_2/plot1d_Bank120 omega 90.0.png,run001/step_2/plot1d_Bank144 omega 0.0.png,run001/step_2/plot1d_Bank144 omega 67.5.png,run001/step_2/plot1d_Bank144 omega 90.0.png,run001/step_2/plot1d_Bank39 omega 0.0.png,run001/step_2/plot1d_Bank39 omega 67.5.png,run001/step_2/plot1d_Bank39 omega 90.0.png,run001/step_2/plot1d_Bank60 omega 0.0.png,run001/step_2/plot1d_Bank60 omega 67.5.png,run001/step_2/plot1d_Bank60 omega 90.0.png,run001/step_2/plot1d_Bank90 omega 0.0.png,run001/step_2/plot1d_Bank90 omega 67.5.png,run001/step_2/plot1d_Bank90 omega 90.0.png,run001/step_2/plot_Bank120 omega 0.0.png,run001/step_2/plot_Bank120 omega 67.5.png,run001/step_2/plot_Bank120 omega 90.0.png,run001/step_2/plot_Bank144 omega 0.0.png,run001/step_2/plot_Bank144 omega 67.5.png,run001/step_2/plot_Bank144 omega 90.0.png,run001/step_2/plot_Bank39 omega 0.0.png,run001/step_2/plot_Bank39 omega 67.5.png,run001/step_2/plot_Bank39 omega 90.0.png,run001/step_2/plot_Bank60 omega 0.0.png,run001/step_2/plot_Bank60 omega 67.5.png,run001/step_2/plot_Bank60 omega 90.0.png,run001/step_2/plot_Bank90 omega 0.0.png,run001/step_2/plot_Bank90 omega 67.5.png,run001/step_2/plot_Bank90 omega 90.0.png
2,run001,0.08348756,0.011022878,3,0.03597001,0.044732537,0.8041128988503379,beta-Ti,3.28,NaN,3.28,NaN,3.28,NaN,90.0,NaN,90.0,NaN,90.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_2/plot1d_Bank120 omega 0.0.png,run001/step_2/plot1d_Bank120 omega 67.5.png,run001/step_2/plot1d_Bank120 omega 90.0.png,run001/step_2/plot1d_Bank144 omega 0.0.png,run001/step_2/plot1d_Bank144 omega 67.5.png,run001/step_2/plot1d_Bank144 omega 90.0.png,run001/step_2/plot1d_Bank39 omega 0.0.png,run001/step_2/plot1d_Bank39 omega 67.5.png,run001/step_2/plot1d_Bank39 omega 90.0.png,run001/step_2/plot1d_Bank60 omega 0.0.png,run001/step_2/plot1d_Bank60 omega 67.5.png,run001/step_2/plot1d_Bank60 omega 90.0.png,run001/step_2/plot1d_Bank90 omega 0.0.png,run001/step_2/plot1d_Bank90 omega 67.5.png,run001/step_2/plot1d_Bank90 omega 90.0.png,run001/step_2/plot_Bank120 omega 0.0.png,run001/step_2/plot_Bank120 omega 67.5.png,run001/step_2/plot_Bank120 omega 90.0.png,run001/step_2/plot_Bank144 omega 0.0.png,run001/step_2/plot_Bank144 omega 67.5.png,run001/step_2/plot_Bank144 omega 90.0.png,run001/step_2/plot_Bank39 omega 0.0.png,run001/step_2/plot_Bank39 omega 67.5.png,run001/step_2/plot_Bank39 omega 90.0.png,run001/step_2/plot_Bank60 omega 0.0.png,run001/step_2/plot_Bank60 omega 67.5.png,run001/step_2/plot_Bank60 omega 90.0.png,run001/step_2/plot_Bank90 omega 0.0.png,run001/step_2/plot_Bank90 omega 67.5.png,run001/step_2/plot_Bank90 omega 90.0.png
2,run001,0.9164691,NaN,3,0.03597001,0.044732537,0.8041128988503379,alpha-Ti,2.91804,NaN,2.91804,NaN,4.65174,NaN,90.0,NaN,90.0,NaN,120.0,NaN,0.6,NaN,1000.0,NaN,0.002,NaN,run001/step_2/plot1d_Bank120 omega 0.0.png,run001/step_2/plot1d_Bank120 omega 67.5.png,run001/step_2/plot1d_Bank120 omega 90.0.png,run001/step_2/plot1d_Bank144 omega 0.0.png,run001/step_2/plot1d_Bank144 omega 67.5.png,run001/step_2/plot1d_Bank144 omega 90.0.png,run001/step_2/plot1d_Bank39 omega 0.0.png,run001/step_2/plot1d_Bank39 omega 67.5.png,run001/step_2/plot1d_Bank39 omega 90.0.png,run001/step_2/plot1d_Bank60 omega 0.0.png,run001/step_2/plot1d_Bank60 omega 67.5.png,run001/step_2/plot1d_Bank60 omega 90.0.png,run001/step_2/plot1d_Bank90 omega 0.0.png,run001/step_2/plot1d_Bank90 omega 67.5.png,run001/step_2/plot1d_Bank90 omega 90.0.png,run001/step_2/plot_Bank120 omega 0.0.png,run001/step_2/plot_Bank120 omega 67.5.png,run001/step_2/plot_Bank120 omega 90.0.png,run001/step_2/plot_Bank144 omega 0.0.png,run001/step_2/plot_Bank144 omega 67.5.png,run001/step_2/plot_Bank144 omega 90.0.png,run001/step_2/plot_Bank39 omega 0.0.png,run001/step_2/plot_Bank39 omega 67.5.png,run001/step_2/plot_Bank39 omega 90.0.png,run001/step_2/plot_Bank60 omega 0.0.png,run001/step_2/plot_Bank60 omega 67.5.png,run001/step_2/plot_Bank60 omega 90.0.png,run001/step_2/plot_Bank90 omega 0.0.png,run001/step_2/plot_Bank90 omega 67.5.png,run001/step_2/plot_Bank90 omega 90.0.png
